IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Product Code;Usage Type; [lineItem/Operation];lineItem/LineItemDescription;Yandex Cloud;VK Cloud;ELSE
Compute;Container Service;AWS Container Instanses;Compute Optimized;On-Demand Instances;AmazonEC2;%BoxUsage%;;;Yandex Compute Cloud;Cloud Servers;-
Compute;Container Service;AWS Container Instanses;General Purpose;Virtual Machine;AmazonEC2;;;Tax%;Yandex Compute Cloud;Cloud Servers;-
Compute;Savings Plans;AWS Savings Plans;Saving Plans;Saving Plans;ComputeSavingsPlans;ComputeSP%AllUpfront;;;Reserved Consumption;;-
Compute;Savings Plans;AWS Savings Plans;Saving Plans;Saving Plans;ComputeSavingsPlans;ComputeSP%NoUpfront;;;Reserved Consumption;;-
Compute;Container Service;AWS Container Instanses;Compute Optimized;Dedicated Instances;AmazonEC2;%DedicatedUsage%;Surcharge;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;Compute Optimized;Dedicated Instances;AmazonEC2;%DedicatedUsage%;;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;Physical Server;Dedicated Host;AmazonEC2;%HostUsage%;;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;Graphics Optimized GPU;GPU Instances;AmazonEC2;%EGpuUsage%;;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;Spot Instances;Spot Instances;AmazonEC2;%SpotUsage%;;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;CPU Credits;T2/T3 CPU Credits;AmazonEC2;%CPUCredits%;;;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;All Upfront;Reserved Instance;AmazonEC2;%Purchase%;;Sign up charge for subscription:%;Yandex Compute Cloud;Cloud Servers;SberCloud
Compute;Container Service;AWS Container Instanses;Instances Modification;Savings Plans Exchange;AmazonEC2;%ExchangeUsage;;;Yandex Compute Cloud;Cloud Servers;SberCloud
